                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3661,                 1.8856,                 1.0432,                0.82648,                0.64623,                0.76397,                0.48271,                 1.2121,                 1.4029,                 1.0619,              0.0006652,              0.0006652,              0.0006652
                      2,                 1.2986,                  1.073,                  1.035,                0.80706,                0.67669,                0.76971,                0.49432,                 1.1808,                 0.9354,                 1.0459,              0.0013187,              0.0013187,              0.0013187
                      3,                 1.2395,                0.92894,                 1.0344,                0.83896,                0.68263,                0.78687,                0.51945,                 1.1482,                 0.8679,                 1.0641,               0.001959,               0.001959,               0.001959
                      4,                 1.2421,                0.92289,                 1.0306,                 0.8633,                0.69385,                0.80819,                0.54714,                 1.0901,                0.79067,                 1.0307,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2007,                0.87207,                   1.03,                0.83409,                0.69216,                0.79773,                0.49678,                 1.1991,                 0.8172,                 1.0383,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1794,                 0.8499,                 1.0159,                0.82773,                0.66819,                0.77959,                0.48789,                 1.1709,                0.80809,                 1.0418,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1565,                0.80999,                 1.0165,                0.83711,                0.70641,                0.80232,                0.53301,                 1.0642,                0.80056,                 1.0232,               0.001901,               0.001901,               0.001901
                      8,                 1.1264,                0.78079,                0.99511,                0.85059,                0.73543,                0.83073,                0.54014,                 1.1251,                 0.7494,                 1.0301,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.113,                0.77081,                0.99794,                0.87235,                0.75819,                0.85039,                0.58874,                 1.0208,                0.69543,                 1.0047,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1067,                0.75543,                0.98635,                0.87346,                0.75414,                0.85544,                0.58927,                 1.0104,                0.66585,                  1.003,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0829,                0.73165,                0.98022,                0.87543,                0.71679,                0.83057,                0.54448,                 1.1253,                  0.756,                 1.0353,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0812,                0.72468,                0.98468,                0.86702,                0.73911,                0.84187,                0.57034,                 1.0196,                0.68308,                 1.0105,               0.001802,               0.001802,               0.001802
                     13,                 1.0729,                0.72096,                0.97671,                0.88653,                0.74249,                0.84722,                0.60014,                0.95967,                0.66926,                0.98517,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0724,                0.70652,                0.97953,                0.88514,                0.74519,                0.85338,                0.59986,                 0.9697,                0.65558,                 0.9841,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0523,                0.69119,                0.96649,                0.85754,                 0.7593,                0.85713,                0.57134,                 1.0506,                0.66848,                 1.0047,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0427,                0.68451,                0.97165,                0.89269,                0.74309,                0.86151,                0.58682,                 1.0338,                0.66492,                 1.0076,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0384,                0.68495,                0.96969,                0.89049,                0.74834,                0.85524,                0.58868,                 1.0016,                0.65136,                0.98395,               0.001703,               0.001703,               0.001703
                     18,                 1.0433,                0.68063,                0.97146,                0.88167,                0.74553,                0.85753,                0.58175,                   1.04,                 0.6703,                0.99204,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0336,                0.68859,                0.96658,                0.86491,                0.72509,                0.83375,                0.55527,                 1.0709,                0.68625,                 1.0154,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0307,                0.66786,                0.96217,                0.87847,                0.75554,                0.85741,                0.59648,                0.97277,                0.64233,                0.97344,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0136,                0.65763,                0.96002,                0.88068,                0.76714,                0.86432,                0.59203,                 1.0152,                0.63958,                0.98271,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0203,                0.66279,                0.96278,                0.89849,                0.76529,                0.87469,                0.61864,                0.93833,                0.60477,                 0.9756,               0.001604,               0.001604,               0.001604
                     23,                 1.0218,                0.66347,                0.96777,                0.89637,                0.76478,                0.86852,                0.60205,                0.96793,                0.62333,                0.96932,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0018,                0.64848,                0.95583,                0.90383,                 0.7729,                0.87577,                0.62496,                0.92424,                 0.5974,                0.96363,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0088,                0.65218,                0.96005,                0.89099,                0.76739,                  0.868,                0.61034,                0.94632,                0.60937,                0.96964,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.9883,                0.63755,                 0.9526,                0.90032,                0.75903,                 0.8714,                0.60726,                0.97205,                0.60415,                0.98102,              0.0015248,              0.0015248,              0.0015248
                     27,                0.98332,                0.63129,                0.95098,                0.90351,                0.76731,                0.86993,                0.60834,                0.95844,                0.60472,                0.95985,               0.001505,               0.001505,               0.001505
                     28,                 1.0065,                0.63976,                0.96044,                0.88995,                0.76332,                0.87122,                0.61008,                0.93952,                0.59354,                0.96907,              0.0014852,              0.0014852,              0.0014852
                     29,                0.98161,                0.62982,                0.94967,                0.89318,                 0.7587,                0.87306,                0.61284,                0.96006,                0.61249,                0.98671,              0.0014654,              0.0014654,              0.0014654
                     30,                0.97054,                0.61746,                0.94225,                0.88539,                 0.7736,                0.87766,                0.60906,                0.97954,                0.59845,                0.98216,              0.0014456,              0.0014456,              0.0014456
                     31,                0.97256,                0.60973,                0.94208,                0.89469,                0.76611,                0.87394,                0.61406,                0.93046,                0.58119,                0.96256,              0.0014258,              0.0014258,              0.0014258
                     32,                0.98681,                0.61544,                0.94988,                0.88942,                0.78723,                0.88424,                0.62362,                0.94041,                0.58651,                 0.9666,               0.001406,               0.001406,               0.001406
                     33,                0.95472,                0.59974,                0.93975,                0.89027,                0.77547,                0.87548,                0.61638,                0.96942,                0.60192,                 0.9777,              0.0013862,              0.0013862,              0.0013862
                     34,                0.95856,                0.60129,                0.93945,                0.90518,                0.77215,                0.87989,                 0.6289,                0.92082,                0.58366,                0.96529,              0.0013664,              0.0013664,              0.0013664
                     35,                0.94918,                0.60394,                0.94514,                0.90173,                 0.7798,                0.88374,                 0.6214,                0.93326,                0.57403,                0.96994,              0.0013466,              0.0013466,              0.0013466
                     36,                0.96761,                0.60828,                0.94869,                0.89773,                0.77035,                0.87954,                0.62405,                 0.9433,                0.57385,                0.96254,              0.0013268,              0.0013268,              0.0013268
                     37,                0.95897,                0.60391,                0.94451,                0.88313,                0.78859,                  0.884,                 0.6295,                 0.9163,                0.56061,                0.95821,               0.001307,               0.001307,               0.001307
                     38,                0.95898,                0.59865,                0.94094,                0.89265,                0.77524,                0.87624,                0.61391,                0.94385,                0.58011,                0.95889,              0.0012872,              0.0012872,              0.0012872
                     39,                0.96058,                0.59445,                0.93847,                0.88895,                0.78674,                0.88066,                0.63544,                0.89972,                0.55988,                0.96119,              0.0012674,              0.0012674,              0.0012674
                     40,                0.95974,                0.58829,                0.94163,                0.89587,                0.79078,                0.88806,                0.63886,                0.89657,                0.54949,                0.95442,              0.0012476,              0.0012476,              0.0012476
                     41,                0.94485,                0.59362,                 0.9432,                0.89301,                0.77095,                0.87528,                0.62241,                0.92631,                0.57302,                0.97053,              0.0012278,              0.0012278,              0.0012278
                     42,                0.94428,                0.58745,                0.94134,                0.88862,                0.79352,                 0.8886,                0.62345,                0.93582,                0.56192,                0.95517,               0.001208,               0.001208,               0.001208
                     43,                 0.9514,                0.58365,                0.93826,                0.89093,                0.78858,                0.88914,                0.62211,                0.95527,                0.55673,                0.96161,              0.0011882,              0.0011882,              0.0011882
                     44,                0.93825,                0.58828,                0.93128,                0.89531,                0.78116,                 0.8852,                0.62155,                0.93589,                0.56317,                0.95995,              0.0011684,              0.0011684,              0.0011684
                     45,                0.93211,                0.56254,                 0.9252,                0.89245,                0.79635,                0.88904,                0.63258,                0.92158,                0.55295,                0.95699,              0.0011486,              0.0011486,              0.0011486
                     46,                0.93402,                0.57444,                0.93311,                0.89862,                0.79176,                0.89231,                0.63348,                0.92848,                0.54554,                0.96619,              0.0011288,              0.0011288,              0.0011288
                     47,                0.92072,                0.56346,                0.92791,                0.90647,                0.78622,                0.88863,                 0.6405,                0.90007,                 0.5439,                0.95435,               0.001109,               0.001109,               0.001109
                     48,                0.91998,                0.56014,                 0.9287,                0.89086,                0.79256,                 0.8874,                0.63163,                0.90118,                0.53688,                0.94899,              0.0010892,              0.0010892,              0.0010892
                     49,                0.92386,                0.56051,                0.92849,                0.89815,                0.78132,                 0.8889,                0.63787,                 0.8994,                0.54267,                0.95259,              0.0010694,              0.0010694,              0.0010694
                     50,                0.92626,                0.55921,                0.93008,                 0.8909,                0.79044,                0.88711,                0.62946,                0.91568,                0.54567,                0.95444,              0.0010496,              0.0010496,              0.0010496
                     51,                0.91308,                0.55902,                0.92956,                0.90909,                0.80716,                0.89912,                0.65286,                0.88967,                0.53147,                0.95186,              0.0010298,              0.0010298,              0.0010298
                     52,                0.91972,                0.55696,                0.92137,                0.88902,                0.80485,                0.89603,                0.64546,                0.87869,                0.53572,                0.94489,                0.00101,                0.00101,                0.00101
                     53,                0.89887,                0.54106,                0.91742,                 0.9101,                0.79489,                0.89377,                0.64443,                0.89313,                0.53325,                0.95314,              0.0009902,              0.0009902,              0.0009902
                     54,                0.91844,                 0.5525,                0.93229,                0.90893,                0.79382,                0.89384,                0.64724,                0.87072,                0.52611,                0.94227,              0.0009704,              0.0009704,              0.0009704
                     55,                0.90482,                0.54375,                0.92051,                 0.8983,                0.80496,                0.89412,                0.64839,                 0.8767,                0.52354,                0.94179,              0.0009506,              0.0009506,              0.0009506
                     56,                0.90443,                0.53947,                0.91707,                0.92024,                0.79433,                0.90044,                0.65733,                0.86077,                0.51864,                0.93388,              0.0009308,              0.0009308,              0.0009308
                     57,                0.90597,                0.54713,                0.92092,                0.90554,                0.80129,                0.89696,                0.65091,                0.86841,                0.51846,                  0.933,               0.000911,               0.000911,               0.000911
                     58,                0.90812,                0.54753,                0.92282,                0.90967,                0.80098,                0.89719,                0.64727,                0.87947,                0.51541,                0.93824,              0.0008912,              0.0008912,              0.0008912
                     59,                0.88853,                0.53679,                0.91358,                 0.9045,                0.80286,                0.89729,                0.65101,                0.86387,                0.51714,                0.93731,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.8942,                0.53053,                0.92028,                0.90155,                0.80513,                0.89873,                0.65165,                0.88122,                0.51718,                0.94221,              0.0008516,              0.0008516,              0.0008516
                     61,                0.89823,                0.53976,                0.92611,                0.91223,                0.81088,                0.90037,                0.66204,                0.85908,                0.50811,                0.93566,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.8907,                0.53237,                0.91682,                0.89543,                0.80399,                0.89761,                0.64092,                0.89347,                0.51662,                0.94538,               0.000812,               0.000812,               0.000812
                     63,                0.89136,                0.53113,                0.91284,                0.89378,                0.81695,                0.90346,                0.65261,                0.88697,                0.51477,                0.94114,              0.0007922,              0.0007922,              0.0007922
                     64,                0.88466,                0.52023,                 0.9165,                0.91163,                0.80952,                0.90164,                0.66692,                0.85108,                0.50183,                0.94194,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.8925,                0.53112,                0.91106,                0.90962,                0.80894,                0.90253,                0.66344,                0.85924,                 0.5046,                0.93612,              0.0007526,              0.0007526,              0.0007526
                     66,                0.88701,                0.52289,                0.91146,                0.90825,                0.81071,                0.90298,                0.65866,                0.86735,                0.50619,                0.93845,              0.0007328,              0.0007328,              0.0007328
                     67,                0.88453,                0.52019,                0.91512,                0.90979,                0.81375,                0.90675,                0.66698,                0.84954,                0.50208,                0.93352,               0.000713,               0.000713,               0.000713
                     68,                0.87394,                0.51587,                0.90798,                0.89908,                0.81233,                0.90084,                0.65093,                 0.8748,                0.50507,                   0.94,              0.0006932,              0.0006932,              0.0006932
                     69,                0.87247,                 0.5176,                0.90852,                0.90329,                0.80748,                0.90385,                0.65675,                0.86512,                0.50282,                0.93377,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.8842,                 0.5166,                0.91465,                0.90479,                0.82016,                0.90643,                 0.6684,                0.84362,                0.49462,                0.92965,              0.0006536,              0.0006536,              0.0006536
                     71,                0.88107,                0.51087,                0.90907,                0.89742,                0.81594,                0.90748,                0.66193,                0.85685,                0.49516,                0.93475,              0.0006338,              0.0006338,              0.0006338
                     72,                0.86594,                0.50701,                0.90675,                0.90171,                0.82523,                0.90817,                0.66815,                0.85187,                0.49673,                 0.9308,               0.000614,               0.000614,               0.000614
                     73,                0.86753,                0.50363,                 0.9075,                0.90036,                0.81645,                0.90452,                0.65729,                0.86039,                0.49101,                0.93584,              0.0005942,              0.0005942,              0.0005942
                     74,                0.86002,                0.49983,                0.90294,                0.90792,                0.82168,                0.90946,                0.66683,                0.84661,                0.49076,                0.93584,              0.0005744,              0.0005744,              0.0005744
                     75,                0.85123,                0.49585,                0.90511,                0.89435,                0.81909,                 0.9075,                0.65878,                0.87634,                0.49695,                0.93968,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.8579,                0.51104,                0.91173,                0.89734,                0.80885,                0.89913,                0.65672,                0.85045,                0.49524,                0.93659,              0.0005348,              0.0005348,              0.0005348
                     77,                0.85107,                0.49358,                 0.9045,                0.90396,                0.82644,                0.91235,                0.66635,                0.85218,                0.48528,                 0.9296,               0.000515,               0.000515,               0.000515
                     78,                0.85425,                0.49055,                 0.9032,                 0.9063,                0.82481,                0.90876,                0.66561,                0.85002,                0.48727,                0.93606,              0.0004952,              0.0004952,              0.0004952
                     79,                0.84749,                0.49164,                0.90153,                0.89856,                0.82675,                0.90782,                0.66408,                0.85627,                0.48815,                0.93154,              0.0004754,              0.0004754,              0.0004754
                     80,                0.84686,                0.49072,                0.90072,                0.91364,                0.82534,                0.91153,                 0.6664,                0.85993,                0.48545,                 0.9377,              0.0004556,              0.0004556,              0.0004556
                     81,                0.86053,                 0.4988,                0.90892,                0.91391,                0.82219,                0.91154,                0.67432,                0.84127,                0.48469,                0.93144,              0.0004358,              0.0004358,              0.0004358
                     82,                0.83836,                0.48513,                0.90124,                0.90617,                0.82134,                0.91186,                0.66859,                0.85335,                0.48206,                0.93318,               0.000416,               0.000416,               0.000416
                     83,                0.83538,                 0.4811,                0.90097,                0.91135,                0.81761,                0.90921,                0.66691,                0.84379,                 0.4783,                0.93229,              0.0003962,              0.0003962,              0.0003962
                     84,                0.84656,                0.48564,                0.90488,                0.91217,                0.82254,                 0.9134,                0.67227,                0.83683,                0.47657,                0.92683,              0.0003764,              0.0003764,              0.0003764
                     85,                0.84284,                0.48132,                0.89782,                0.91011,                0.82403,                0.91405,                0.67266,                0.83987,                0.47663,                0.92826,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.8347,                0.47466,                0.90157,                0.90576,                0.83097,                0.91373,                0.66962,                0.85179,                0.47985,                0.93153,              0.0003368,              0.0003368,              0.0003368
                     87,                0.84263,                0.48311,                 0.9004,                0.91162,                0.82388,                0.91189,                0.67444,                0.83771,                0.47726,                0.92876,               0.000317,               0.000317,               0.000317
                     88,                0.82969,                0.47834,                0.89726,                0.91544,                0.82629,                 0.9162,                0.68169,                0.82947,                 0.4703,                0.92384,              0.0002972,              0.0002972,              0.0002972
                     89,                0.83138,                0.47457,                0.89585,                0.89979,                0.83384,                0.91196,                0.67178,                0.84121,                0.47676,                0.92937,              0.0002774,              0.0002774,              0.0002774
                     90,                0.84352,                0.47639,                0.89893,                0.90631,                0.83149,                0.91411,                0.67153,                0.84277,                0.47379,                0.92982,              0.0002576,              0.0002576,              0.0002576
                     91,                0.81224,                0.46043,                0.89995,                0.90832,                0.83907,                0.91729,                0.67331,                0.84911,                0.47371,                0.93098,              0.0002378,              0.0002378,              0.0002378
                     92,                0.80002,                0.45347,                0.89933,                0.90445,                0.83604,                  0.916,                0.67388,                0.84576,                0.47329,                0.93128,               0.000218,               0.000218,               0.000218
                     93,                0.80118,                0.45411,                0.89643,                0.89832,                0.84441,                0.91716,                0.67841,                0.83959,                0.47209,                0.92867,              0.0001982,              0.0001982,              0.0001982
                     94,                0.80304,                0.44962,                0.90039,                0.90806,                0.83333,                0.91826,                0.67888,                0.83932,                0.46852,                0.92742,              0.0001784,              0.0001784,              0.0001784
                     95,                0.79588,                0.44383,                0.89239,                0.91171,                0.83175,                0.91645,                0.67761,                0.83939,                0.46891,                0.93007,              0.0001586,              0.0001586,              0.0001586
                     96,                0.79198,                0.44667,                0.89533,                0.91451,                0.83453,                0.91783,                0.67982,                0.83482,                0.46887,                0.92781,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.7829,                0.44444,                0.89084,                0.90808,                0.83857,                0.91859,                0.68115,                0.82955,                0.46719,                0.92626,               0.000119,               0.000119,               0.000119
                     98,                0.78646,                0.43925,                0.89029,                0.90538,                0.84346,                0.91863,                0.67796,                0.83348,                0.46827,                0.92771,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.78166,                0.43608,                0.88854,                0.90644,                0.83931,                0.91887,                0.67944,                0.83449,                0.46699,                0.92982,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.78038,                0.43619,                0.88773,                 0.9066,                0.83925,                 0.9184,                0.68173,                0.82843,                0.46323,                0.92638,               5.96e-05,               5.96e-05,               5.96e-05
